"Woche","Geschlecht","Inzidenz pro 100'000","Meta","Type","Content"
2020-09-14,"weiblich","7.93",NA,NA,NA
2020-09-21,"weiblich","7.93",NA,NA,NA
2020-09-28,"weiblich","30.14",NA,NA,NA
2020-10-05,"weiblich","131.65",NA,NA,NA
2020-10-12,"weiblich","206.19",NA,NA,NA
2020-10-19,"weiblich","326.74",NA,NA,NA
2020-10-26,"weiblich","329.91",NA,NA,NA
2020-11-02,"weiblich","337.84",NA,NA,NA
2020-11-09,"weiblich","283.91",NA,NA,NA
2020-11-16,"weiblich","304.53",NA,NA,NA
2020-11-23,"weiblich","253.77",NA,NA,NA
2020-11-30,"weiblich","298.19",NA,NA,NA
2020-12-07,"weiblich","268.05",NA,NA,NA
2020-12-14,"weiblich","315.63",NA,NA,NA
2020-12-21,"weiblich","214.12",NA,NA,NA
2020-12-28,"weiblich","323.56",NA,NA,NA
2021-01-04,"weiblich","318.8",NA,NA,NA
2021-01-11,"weiblich","182.4",NA,NA,NA
2021-01-18,"weiblich","179.23",NA,NA,NA
2021-01-25,"weiblich","153.85",NA,NA,NA
2021-02-01,"weiblich","147.51",NA,NA,NA
2021-02-08,"weiblich","101.51",NA,NA,NA
2021-02-15,"weiblich","71.37",NA,NA,NA
2021-02-22,"weiblich","68.2",NA,NA,NA
2021-03-01,"weiblich","80.89",NA,NA,NA
2021-03-08,"weiblich","106.27",NA,NA,NA
2021-03-15,"weiblich","76.13",NA,NA,NA
2020-02-24,"Unbekannt",NA,NA,NA,NA
2020-03-02,"Unbekannt",NA,NA,NA,NA
2020-03-09,"Unbekannt",NA,NA,NA,NA
2020-03-16,"Unbekannt",NA,NA,NA,NA
2020-03-23,"Unbekannt",NA,NA,NA,NA
2020-03-30,"Unbekannt",NA,NA,NA,NA
2020-04-06,"Unbekannt",NA,NA,NA,NA
2020-04-13,"Unbekannt",NA,NA,NA,NA
2020-04-20,"Unbekannt",NA,NA,NA,NA
2020-04-27,"Unbekannt",NA,NA,NA,NA
2020-05-04,"Unbekannt",NA,NA,NA,NA
2020-05-11,"Unbekannt",NA,NA,NA,NA
2020-05-18,"Unbekannt",NA,NA,NA,NA
2020-05-25,"Unbekannt",NA,NA,NA,NA
2020-06-01,"Unbekannt",NA,NA,NA,NA
2020-06-08,"Unbekannt",NA,NA,NA,NA
2020-06-15,"Unbekannt",NA,NA,NA,NA
2020-06-22,"Unbekannt",NA,NA,NA,NA
2020-06-29,"Unbekannt",NA,NA,NA,NA
2020-07-06,"Unbekannt",NA,NA,NA,NA
2020-07-13,"Unbekannt",NA,NA,NA,NA
2020-07-20,"Unbekannt",NA,NA,NA,NA
2020-07-27,"Unbekannt",NA,NA,NA,NA
2020-08-03,"Unbekannt",NA,NA,NA,NA
2020-08-10,"Unbekannt",NA,NA,NA,NA
2020-08-17,"Unbekannt",NA,NA,NA,NA
2020-08-24,"Unbekannt",NA,NA,NA,NA
2020-08-31,"Unbekannt",NA,NA,NA,NA
2020-09-07,"Unbekannt",NA,NA,NA,NA
2020-09-14,"Unbekannt",NA,NA,NA,NA
2020-09-21,"Unbekannt",NA,NA,NA,NA
2020-09-28,"Unbekannt",NA,NA,NA,NA
2020-10-05,"Unbekannt",NA,NA,NA,NA
2020-10-12,"Unbekannt",NA,NA,NA,NA
2020-10-19,"Unbekannt",NA,NA,NA,NA
2020-10-26,"Unbekannt",NA,NA,NA,NA
2020-11-02,"Unbekannt",NA,NA,NA,NA
2020-11-09,"Unbekannt",NA,NA,NA,NA
2020-11-16,"Unbekannt",NA,NA,NA,NA
2020-11-23,"Unbekannt",NA,NA,NA,NA
2020-11-30,"Unbekannt",NA,NA,NA,NA
2020-12-07,"Unbekannt",NA,NA,NA,NA
2020-12-14,"Unbekannt",NA,NA,NA,NA
2020-12-21,"Unbekannt",NA,NA,NA,NA
2020-12-28,"Unbekannt",NA,NA,NA,NA
2021-01-04,"Unbekannt",NA,NA,NA,NA
2021-01-11,"Unbekannt",NA,NA,NA,NA
2021-01-18,"Unbekannt",NA,NA,NA,NA
2021-01-25,"Unbekannt",NA,NA,NA,NA
2021-02-01,"Unbekannt",NA,NA,NA,NA
2021-02-08,"Unbekannt",NA,NA,NA,NA
2021-02-15,"Unbekannt",NA,NA,NA,NA
2021-02-22,"Unbekannt",NA,NA,NA,NA
2021-03-01,"Unbekannt",NA,NA,NA,NA
2021-03-08,"Unbekannt",NA,NA,NA,NA
2021-03-15,"Unbekannt",NA,NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,float"
NA,NA,NA,"1","title","Positiv getestete Personen nach Geschlecht im Zeitverlauf pro 100'000"
NA,NA,NA,"1","subtitle","Datenstand: 18.03.2021"
NA,NA,NA,"1","description","Die Inzidenz wird jeweils pro 100'000 Personen im entsprechenden Geschlecht ausgewiesen. Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
