"Datum","Typ","Anzahl","Meta","Type","Content"
"18.02.2021","Total verimpfte Dosen","11836",NA,NA,NA
"19.02.2021","Total verimpfte Dosen","12652",NA,NA,NA
"20.02.2021","Total verimpfte Dosen","13213",NA,NA,NA
"21.02.2021","Total verimpfte Dosen","13777",NA,NA,NA
"22.02.2021","Total verimpfte Dosen","14072",NA,NA,NA
"23.02.2021","Total verimpfte Dosen","14391",NA,NA,NA
"24.02.2021","Total verimpfte Dosen","14722",NA,NA,NA
"25.02.2021","Total verimpfte Dosen","15078",NA,NA,NA
"26.02.2021","Total verimpfte Dosen","15301",NA,NA,NA
"27.02.2021","Total verimpfte Dosen","15519",NA,NA,NA
"28.02.2021","Total verimpfte Dosen","15639",NA,NA,NA
"01.03.2021","Total verimpfte Dosen","15750",NA,NA,NA
"02.03.2021","Total verimpfte Dosen","15906",NA,NA,NA
"03.03.2021","Total verimpfte Dosen","16169",NA,NA,NA
"04.03.2021","Total verimpfte Dosen","16646",NA,NA,NA
"05.03.2021","Total verimpfte Dosen","16971",NA,NA,NA
"06.03.2021","Total verimpfte Dosen","17216",NA,NA,NA
"07.03.2021","Total verimpfte Dosen","17453",NA,NA,NA
"08.03.2021","Total verimpfte Dosen","17486",NA,NA,NA
"09.03.2021","Total verimpfte Dosen","17649",NA,NA,NA
"10.03.2021","Total verimpfte Dosen","17762",NA,NA,NA
"11.03.2021","Total verimpfte Dosen","17906",NA,NA,NA
"12.03.2021","Total verimpfte Dosen","18106",NA,NA,NA
"13.03.2021","Total verimpfte Dosen","18146",NA,NA,NA
"14.03.2021","Total verimpfte Dosen","18156",NA,NA,NA
"15.03.2021","Total verimpfte Dosen","18511",NA,NA,NA
"16.03.2021","Total verimpfte Dosen","18809",NA,NA,NA
"17.03.2021","Total verimpfte Dosen","19094",NA,NA,NA
"18.03.2021","Total verimpfte Dosen","19402",NA,NA,NA
"19.03.2021","Total verimpfte Dosen","19717",NA,NA,NA
"20.03.2021","Total verimpfte Dosen","19946",NA,NA,NA
"21.03.2021","Total verimpfte Dosen","20176",NA,NA,NA
"23.12.2020","Total 1. Impfung","250",NA,NA,NA
"24.12.2020","Total 1. Impfung","250",NA,NA,NA
"25.12.2020","Total 1. Impfung","250",NA,NA,NA
"26.12.2020","Total 1. Impfung","250",NA,NA,NA
"27.12.2020","Total 1. Impfung","250",NA,NA,NA
"28.12.2020","Total 1. Impfung","250",NA,NA,NA
"29.12.2020","Total 1. Impfung","350",NA,NA,NA
"30.12.2020","Total 1. Impfung","350",NA,NA,NA
"31.12.2020","Total 1. Impfung","350",NA,NA,NA
"01.01.2021","Total 1. Impfung","350",NA,NA,NA
"02.01.2021","Total 1. Impfung","350",NA,NA,NA
"03.01.2021","Total 1. Impfung","350",NA,NA,NA
"04.01.2021","Total 1. Impfung","350",NA,NA,NA
"05.01.2021","Total 1. Impfung","350",NA,NA,NA
"06.01.2021","Total 1. Impfung","450",NA,NA,NA
"07.01.2021","Total 1. Impfung","555",NA,NA,NA
"08.01.2021","Total 1. Impfung","709",NA,NA,NA
"09.01.2021","Total 1. Impfung","709",NA,NA,NA
"10.01.2021","Total 1. Impfung","709",NA,NA,NA
"11.01.2021","Total 1. Impfung","757",NA,NA,NA
"12.01.2021","Total 1. Impfung","907",NA,NA,NA
"13.01.2021","Total 1. Impfung","1032",NA,NA,NA
"14.01.2021","Total 1. Impfung","1184",NA,NA,NA
"15.01.2021","Total 1. Impfung","1420",NA,NA,NA
"16.01.2021","Total 1. Impfung","1666",NA,NA,NA
"17.01.2021","Total 1. Impfung","1917",NA,NA,NA
"18.01.2021","Total 1. Impfung","2300",NA,NA,NA
"19.01.2021","Total 1. Impfung","2939",NA,NA,NA
"20.01.2021","Total 1. Impfung","3748",NA,NA,NA
"21.01.2021","Total 1. Impfung","4468",NA,NA,NA
"22.01.2021","Total 1. Impfung","5172",NA,NA,NA
"23.01.2021","Total 1. Impfung","5669",NA,NA,NA
"24.01.2021","Total 1. Impfung","6243",NA,NA,NA
"25.01.2021","Total 1. Impfung","6489",NA,NA,NA
"26.01.2021","Total 1. Impfung","6768",NA,NA,NA
"27.01.2021","Total 1. Impfung","6998",NA,NA,NA
"28.01.2021","Total 1. Impfung","6998",NA,NA,NA
"29.01.2021","Total 1. Impfung","6998",NA,NA,NA
"30.01.2021","Total 1. Impfung","6998",NA,NA,NA
"31.01.2021","Total 1. Impfung","6998",NA,NA,NA
"01.02.2021","Total 1. Impfung","7005",NA,NA,NA
"02.02.2021","Total 1. Impfung","7006",NA,NA,NA
"03.02.2021","Total 1. Impfung","7013",NA,NA,NA
"04.02.2021","Total 1. Impfung","7202",NA,NA,NA
"05.02.2021","Total 1. Impfung","7241",NA,NA,NA
"06.02.2021","Total 1. Impfung","7262",NA,NA,NA
"07.02.2021","Total 1. Impfung","7353",NA,NA,NA
"08.02.2021","Total 1. Impfung","7353",NA,NA,NA
"09.02.2021","Total 1. Impfung","7364",NA,NA,NA
"10.02.2021","Total 1. Impfung","7371",NA,NA,NA
"11.02.2021","Total 1. Impfung","7372",NA,NA,NA
"12.02.2021","Total 1. Impfung","7539",NA,NA,NA
"13.02.2021","Total 1. Impfung","7579",NA,NA,NA
"14.02.2021","Total 1. Impfung","7587",NA,NA,NA
"15.02.2021","Total 1. Impfung","7596",NA,NA,NA
"16.02.2021","Total 1. Impfung","7619",NA,NA,NA
"17.02.2021","Total 1. Impfung","7689",NA,NA,NA
"18.02.2021","Total 1. Impfung","7753",NA,NA,NA
"19.02.2021","Total 1. Impfung","7796",NA,NA,NA
"20.02.2021","Total 1. Impfung","7840",NA,NA,NA
"21.02.2021","Total 1. Impfung","7881",NA,NA,NA
"22.02.2021","Total 1. Impfung","7911",NA,NA,NA
"23.02.2021","Total 1. Impfung","7975",NA,NA,NA
"24.02.2021","Total 1. Impfung","8076",NA,NA,NA
"25.02.2021","Total 1. Impfung","8148",NA,NA,NA
"26.02.2021","Total 1. Impfung","8358",NA,NA,NA
"27.02.2021","Total 1. Impfung","8574",NA,NA,NA
"28.02.2021","Total 1. Impfung","8689",NA,NA,NA
"01.03.2021","Total 1. Impfung","8793",NA,NA,NA
"02.03.2021","Total 1. Impfung","8942",NA,NA,NA
"03.03.2021","Total 1. Impfung","9189",NA,NA,NA
"04.03.2021","Total 1. Impfung","9490",NA,NA,NA
"05.03.2021","Total 1. Impfung","9714",NA,NA,NA
"06.03.2021","Total 1. Impfung","9948",NA,NA,NA
"07.03.2021","Total 1. Impfung","10135",NA,NA,NA
"08.03.2021","Total 1. Impfung","10168",NA,NA,NA
"09.03.2021","Total 1. Impfung","10331",NA,NA,NA
"10.03.2021","Total 1. Impfung","10443",NA,NA,NA
"11.03.2021","Total 1. Impfung","10584",NA,NA,NA
"12.03.2021","Total 1. Impfung","10614",NA,NA,NA
"13.03.2021","Total 1. Impfung","10654",NA,NA,NA
"14.03.2021","Total 1. Impfung","10664",NA,NA,NA
"15.03.2021","Total 1. Impfung","10992",NA,NA,NA
"16.03.2021","Total 1. Impfung","11204",NA,NA,NA
"17.03.2021","Total 1. Impfung","11369",NA,NA,NA
"18.03.2021","Total 1. Impfung","11610",NA,NA,NA
"19.03.2021","Total 1. Impfung","11893",NA,NA,NA
"20.03.2021","Total 1. Impfung","12106",NA,NA,NA
"21.03.2021","Total 1. Impfung","12330",NA,NA,NA
"23.12.2020","Total 2. Impfung","0",NA,NA,NA
"24.12.2020","Total 2. Impfung","0",NA,NA,NA
"25.12.2020","Total 2. Impfung","0",NA,NA,NA
"26.12.2020","Total 2. Impfung","0",NA,NA,NA
"27.12.2020","Total 2. Impfung","0",NA,NA,NA
"28.12.2020","Total 2. Impfung","0",NA,NA,NA
"29.12.2020","Total 2. Impfung","0",NA,NA,NA
"30.12.2020","Total 2. Impfung","0",NA,NA,NA
"31.12.2020","Total 2. Impfung","0",NA,NA,NA
"01.01.2021","Total 2. Impfung","0",NA,NA,NA
"02.01.2021","Total 2. Impfung","0",NA,NA,NA
"03.01.2021","Total 2. Impfung","0",NA,NA,NA
"04.01.2021","Total 2. Impfung","0",NA,NA,NA
"05.01.2021","Total 2. Impfung","0",NA,NA,NA
"06.01.2021","Total 2. Impfung","0",NA,NA,NA
"07.01.2021","Total 2. Impfung","0",NA,NA,NA
"08.01.2021","Total 2. Impfung","0",NA,NA,NA
"09.01.2021","Total 2. Impfung","0",NA,NA,NA
"10.01.2021","Total 2. Impfung","0",NA,NA,NA
"11.01.2021","Total 2. Impfung","0",NA,NA,NA
"12.01.2021","Total 2. Impfung","1",NA,NA,NA
"13.01.2021","Total 2. Impfung","98",NA,NA,NA
"14.01.2021","Total 2. Impfung","159",NA,NA,NA
"15.01.2021","Total 2. Impfung","204",NA,NA,NA
"16.01.2021","Total 2. Impfung","206",NA,NA,NA
"17.01.2021","Total 2. Impfung","206",NA,NA,NA
"18.01.2021","Total 2. Impfung","210",NA,NA,NA
"19.01.2021","Total 2. Impfung","218",NA,NA,NA
"20.01.2021","Total 2. Impfung","235",NA,NA,NA
"21.01.2021","Total 2. Impfung","335",NA,NA,NA
"22.01.2021","Total 2. Impfung","355",NA,NA,NA
"23.01.2021","Total 2. Impfung","356",NA,NA,NA
"24.01.2021","Total 2. Impfung","356",NA,NA,NA
"25.01.2021","Total 2. Impfung","361",NA,NA,NA
"26.01.2021","Total 2. Impfung","363",NA,NA,NA
"27.01.2021","Total 2. Impfung","363",NA,NA,NA
"28.01.2021","Total 2. Impfung","363",NA,NA,NA
"29.01.2021","Total 2. Impfung","363",NA,NA,NA
"30.01.2021","Total 2. Impfung","363",NA,NA,NA
"31.01.2021","Total 2. Impfung","363",NA,NA,NA
"01.02.2021","Total 2. Impfung","426",NA,NA,NA
"02.02.2021","Total 2. Impfung","489",NA,NA,NA
"03.02.2021","Total 2. Impfung","623",NA,NA,NA
"04.02.2021","Total 2. Impfung","699",NA,NA,NA
"05.02.2021","Total 2. Impfung","821",NA,NA,NA
"06.02.2021","Total 2. Impfung","912",NA,NA,NA
"07.02.2021","Total 2. Impfung","941",NA,NA,NA
"08.02.2021","Total 2. Impfung","995",NA,NA,NA
"09.02.2021","Total 2. Impfung","1206",NA,NA,NA
"10.02.2021","Total 2. Impfung","1295",NA,NA,NA
"11.02.2021","Total 2. Impfung","1384",NA,NA,NA
"12.02.2021","Total 2. Impfung","1506",NA,NA,NA
"13.02.2021","Total 2. Impfung","1758",NA,NA,NA
"14.02.2021","Total 2. Impfung","1989",NA,NA,NA
"15.02.2021","Total 2. Impfung","2217",NA,NA,NA
"16.02.2021","Total 2. Impfung","2694",NA,NA,NA
"17.02.2021","Total 2. Impfung","3349",NA,NA,NA
"18.02.2021","Total 2. Impfung","4083",NA,NA,NA
"19.02.2021","Total 2. Impfung","4856",NA,NA,NA
"20.02.2021","Total 2. Impfung","5373",NA,NA,NA
"21.02.2021","Total 2. Impfung","5896",NA,NA,NA
"22.02.2021","Total 2. Impfung","6161",NA,NA,NA
"23.02.2021","Total 2. Impfung","6416",NA,NA,NA
"24.02.2021","Total 2. Impfung","6646",NA,NA,NA
"25.02.2021","Total 2. Impfung","6930",NA,NA,NA
"26.02.2021","Total 2. Impfung","6943",NA,NA,NA
"27.02.2021","Total 2. Impfung","6945",NA,NA,NA
"28.02.2021","Total 2. Impfung","6950",NA,NA,NA
"01.03.2021","Total 2. Impfung","6957",NA,NA,NA
"02.03.2021","Total 2. Impfung","6964",NA,NA,NA
"03.03.2021","Total 2. Impfung","6980",NA,NA,NA
"04.03.2021","Total 2. Impfung","7174",NA,NA,NA
"05.03.2021","Total 2. Impfung","7257",NA,NA,NA
"06.03.2021","Total 2. Impfung","7268",NA,NA,NA
"07.03.2021","Total 2. Impfung","7318",NA,NA,NA
"08.03.2021","Total 2. Impfung","7318",NA,NA,NA
"09.03.2021","Total 2. Impfung","7318",NA,NA,NA
"10.03.2021","Total 2. Impfung","7319",NA,NA,NA
"11.03.2021","Total 2. Impfung","7322",NA,NA,NA
"12.03.2021","Total 2. Impfung","7492",NA,NA,NA
"13.03.2021","Total 2. Impfung","7492",NA,NA,NA
"14.03.2021","Total 2. Impfung","7492",NA,NA,NA
"15.03.2021","Total 2. Impfung","7519",NA,NA,NA
"16.03.2021","Total 2. Impfung","7605",NA,NA,NA
"17.03.2021","Total 2. Impfung","7725",NA,NA,NA
"18.03.2021","Total 2. Impfung","7792",NA,NA,NA
"19.03.2021","Total 2. Impfung","7824",NA,NA,NA
"20.03.2021","Total 2. Impfung","7840",NA,NA,NA
"21.03.2021","Total 2. Impfung","7846",NA,NA,NA
NA,NA,NA,"1","datatypes","date,string,integer"
NA,NA,NA,"1","title","Verimpfte Dosen"
NA,NA,NA,"1","subtitle","Datenstand: 22.03.2021 08:00"
NA,NA,NA,"1","description","Es wird jeweils die kummulierte Anzahl verabreichter Impfungen dargestellt. Die Impfung gilt es nach zwei verabreichten Dosen als komplett."
NA,NA,NA,"1","source","Kanton Zug, Amt für Gesundheit"
