"Woche","Gemeinde","Anzahl Fälle","Meta","Type","Content"
2020-08-17,"Cham","2",NA,NA,NA
2020-08-24,"Cham","4",NA,NA,NA
2020-08-31,"Cham","6",NA,NA,NA
2020-09-07,"Cham","4",NA,NA,NA
2020-09-14,"Cham","4",NA,NA,NA
2020-09-21,"Cham","2",NA,NA,NA
2020-09-28,"Cham","6",NA,NA,NA
2020-10-05,"Cham","19",NA,NA,NA
2020-10-12,"Cham","30",NA,NA,NA
2020-10-19,"Cham","52",NA,NA,NA
2020-10-26,"Cham","50",NA,NA,NA
2020-11-02,"Cham","55",NA,NA,NA
2020-11-09,"Cham","57",NA,NA,NA
2020-11-16,"Cham","39",NA,NA,NA
2020-11-23,"Cham","38",NA,NA,NA
2020-11-30,"Cham","36",NA,NA,NA
2020-12-07,"Cham","43",NA,NA,NA
2020-12-14,"Cham","48",NA,NA,NA
2020-12-21,"Cham","34",NA,NA,NA
2020-12-28,"Cham","61",NA,NA,NA
2021-01-04,"Cham","43",NA,NA,NA
2021-01-11,"Cham","29",NA,NA,NA
2021-01-18,"Cham","33",NA,NA,NA
2021-01-25,"Cham","33",NA,NA,NA
2021-02-01,"Cham","33",NA,NA,NA
2021-02-08,"Cham","19",NA,NA,NA
2021-02-15,"Cham","4",NA,NA,NA
2021-02-22,"Cham","8",NA,NA,NA
2021-03-01,"Cham","8",NA,NA,NA
2020-03-09,"Hünenberg","1",NA,NA,NA
2020-03-23,"Hünenberg","2",NA,NA,NA
2020-03-30,"Hünenberg","2",NA,NA,NA
2020-04-06,"Hünenberg","1",NA,NA,NA
2020-04-13,"Hünenberg","1",NA,NA,NA
2020-06-08,"Hünenberg","2",NA,NA,NA
2020-06-15,"Hünenberg","1",NA,NA,NA
2020-07-20,"Hünenberg","1",NA,NA,NA
2020-08-10,"Hünenberg","1",NA,NA,NA
2020-09-07,"Hünenberg","2",NA,NA,NA
2020-09-21,"Hünenberg","1",NA,NA,NA
2020-09-28,"Hünenberg","3",NA,NA,NA
2020-10-05,"Hünenberg","10",NA,NA,NA
2020-10-12,"Hünenberg","11",NA,NA,NA
2020-10-19,"Hünenberg","19",NA,NA,NA
2020-10-26,"Hünenberg","32",NA,NA,NA
2020-11-02,"Hünenberg","16",NA,NA,NA
2020-11-09,"Hünenberg","21",NA,NA,NA
2020-11-16,"Hünenberg","11",NA,NA,NA
2020-11-23,"Hünenberg","19",NA,NA,NA
2020-11-30,"Hünenberg","15",NA,NA,NA
2020-12-07,"Hünenberg","17",NA,NA,NA
2020-12-14,"Hünenberg","25",NA,NA,NA
2020-12-21,"Hünenberg","22",NA,NA,NA
2020-12-28,"Hünenberg","23",NA,NA,NA
2021-01-04,"Hünenberg","22",NA,NA,NA
2021-01-11,"Hünenberg","8",NA,NA,NA
2021-01-18,"Hünenberg","14",NA,NA,NA
2021-01-25,"Hünenberg","12",NA,NA,NA
2021-02-01,"Hünenberg","36",NA,NA,NA
2021-02-08,"Hünenberg","12",NA,NA,NA
2021-02-15,"Hünenberg","9",NA,NA,NA
2021-02-22,"Hünenberg","2",NA,NA,NA
2021-03-01,"Hünenberg","15",NA,NA,NA
2020-03-16,"Menzingen","2",NA,NA,NA
2020-04-06,"Menzingen","1",NA,NA,NA
2020-07-20,"Menzingen","1",NA,NA,NA
2020-07-27,"Menzingen","3",NA,NA,NA
2020-10-05,"Menzingen","4",NA,NA,NA
2020-10-12,"Menzingen","9",NA,NA,NA
2020-10-19,"Menzingen","19",NA,NA,NA
2020-10-26,"Menzingen","14",NA,NA,NA
2020-11-02,"Menzingen","16",NA,NA,NA
2020-11-09,"Menzingen","14",NA,NA,NA
2020-11-16,"Menzingen","29",NA,NA,NA
2020-11-23,"Menzingen","9",NA,NA,NA
2020-11-30,"Menzingen","20",NA,NA,NA
2020-12-07,"Menzingen","9",NA,NA,NA
2020-12-14,"Menzingen","9",NA,NA,NA
2020-12-21,"Menzingen","13",NA,NA,NA
2020-12-28,"Menzingen","20",NA,NA,NA
2021-01-04,"Menzingen","22",NA,NA,NA
2021-01-11,"Menzingen","19",NA,NA,NA
2021-01-18,"Menzingen","4",NA,NA,NA
2021-01-25,"Menzingen","6",NA,NA,NA
2021-02-01,"Menzingen","6",NA,NA,NA
2021-02-08,"Menzingen","2",NA,NA,NA
2021-02-15,"Menzingen","3",NA,NA,NA
2021-02-22,"Menzingen","8",NA,NA,NA
2021-03-01,"Menzingen","1",NA,NA,NA
2020-03-09,"Neuheim","1",NA,NA,NA
2020-03-16,"Neuheim","2",NA,NA,NA
2020-06-22,"Neuheim","1",NA,NA,NA
2020-09-07,"Neuheim","3",NA,NA,NA
2020-09-14,"Neuheim","1",NA,NA,NA
2020-09-21,"Neuheim","1",NA,NA,NA
2020-09-28,"Neuheim","2",NA,NA,NA
2020-10-05,"Neuheim","1",NA,NA,NA
2020-10-12,"Neuheim","3",NA,NA,NA
2020-10-19,"Neuheim","10",NA,NA,NA
2020-10-26,"Neuheim","12",NA,NA,NA
2020-11-02,"Neuheim","6",NA,NA,NA
2020-11-09,"Neuheim","8",NA,NA,NA
2020-11-16,"Neuheim","3",NA,NA,NA
2020-11-23,"Neuheim","2",NA,NA,NA
2020-11-30,"Neuheim","5",NA,NA,NA
2020-12-07,"Neuheim","4",NA,NA,NA
2020-12-14,"Neuheim","8",NA,NA,NA
2020-12-21,"Neuheim","2",NA,NA,NA
2020-12-28,"Neuheim","5",NA,NA,NA
2021-01-04,"Neuheim","6",NA,NA,NA
2021-01-11,"Neuheim","1",NA,NA,NA
2021-01-18,"Neuheim","1",NA,NA,NA
2021-01-25,"Neuheim","4",NA,NA,NA
2021-02-01,"Neuheim","1",NA,NA,NA
2021-02-15,"Neuheim","1",NA,NA,NA
2020-03-09,"Oberägeri","1",NA,NA,NA
2020-03-16,"Oberägeri","2",NA,NA,NA
2020-03-23,"Oberägeri","3",NA,NA,NA
2020-05-11,"Oberägeri","1",NA,NA,NA
2020-05-18,"Oberägeri","1",NA,NA,NA
2020-07-13,"Oberägeri","1",NA,NA,NA
2020-07-20,"Oberägeri","1",NA,NA,NA
2020-08-17,"Oberägeri","1",NA,NA,NA
2020-08-31,"Oberägeri","2",NA,NA,NA
2020-09-14,"Oberägeri","1",NA,NA,NA
2020-09-28,"Oberägeri","8",NA,NA,NA
2020-10-05,"Oberägeri","20",NA,NA,NA
2020-10-12,"Oberägeri","46",NA,NA,NA
2020-10-19,"Oberägeri","38",NA,NA,NA
2020-10-26,"Oberägeri","28",NA,NA,NA
2020-11-02,"Oberägeri","18",NA,NA,NA
2020-11-09,"Oberägeri","10",NA,NA,NA
2020-11-16,"Oberägeri","12",NA,NA,NA
2020-11-23,"Oberägeri","15",NA,NA,NA
2020-11-30,"Oberägeri","10",NA,NA,NA
2020-12-07,"Oberägeri","18",NA,NA,NA
2020-12-14,"Oberägeri","12",NA,NA,NA
2020-12-21,"Oberägeri","11",NA,NA,NA
2020-12-28,"Oberägeri","6",NA,NA,NA
2021-01-04,"Oberägeri","4",NA,NA,NA
2021-01-11,"Oberägeri","3",NA,NA,NA
2021-01-18,"Oberägeri","7",NA,NA,NA
2021-01-25,"Oberägeri","5",NA,NA,NA
2021-02-01,"Oberägeri","5",NA,NA,NA
2021-02-15,"Oberägeri","2",NA,NA,NA
2021-02-22,"Oberägeri","5",NA,NA,NA
2021-03-01,"Oberägeri","3",NA,NA,NA
2020-03-02,"Risch","1",NA,NA,NA
2020-03-09,"Risch","1",NA,NA,NA
2020-03-16,"Risch","3",NA,NA,NA
2020-03-23,"Risch","3",NA,NA,NA
2020-03-30,"Risch","5",NA,NA,NA
2020-04-06,"Risch","1",NA,NA,NA
2020-04-13,"Risch","2",NA,NA,NA
2020-04-20,"Risch","1",NA,NA,NA
2020-05-04,"Risch","1",NA,NA,NA
2020-05-18,"Risch","1",NA,NA,NA
2020-06-08,"Risch","7",NA,NA,NA
2020-06-22,"Risch","1",NA,NA,NA
2020-07-20,"Risch","3",NA,NA,NA
2020-07-27,"Risch","2",NA,NA,NA
2020-08-10,"Risch","3",NA,NA,NA
2020-08-17,"Risch","6",NA,NA,NA
2020-08-24,"Risch","2",NA,NA,NA
2020-08-31,"Risch","6",NA,NA,NA
2020-09-07,"Risch","4",NA,NA,NA
2020-09-21,"Risch","3",NA,NA,NA
2020-10-05,"Risch","12",NA,NA,NA
2020-10-12,"Risch","20",NA,NA,NA
2020-10-19,"Risch","35",NA,NA,NA
2020-10-26,"Risch","32",NA,NA,NA
2020-11-02,"Risch","27",NA,NA,NA
2020-11-09,"Risch","30",NA,NA,NA
2020-11-16,"Risch","39",NA,NA,NA
2020-11-23,"Risch","13",NA,NA,NA
2020-11-30,"Risch","20",NA,NA,NA
2020-12-07,"Risch","34",NA,NA,NA
2020-12-14,"Risch","58",NA,NA,NA
2020-12-21,"Risch","39",NA,NA,NA
2020-12-28,"Risch","42",NA,NA,NA
2021-01-04,"Risch","36",NA,NA,NA
2021-01-11,"Risch","35",NA,NA,NA
2021-01-18,"Risch","25",NA,NA,NA
2021-01-25,"Risch","5",NA,NA,NA
2021-02-01,"Risch","9",NA,NA,NA
2021-02-08,"Risch","8",NA,NA,NA
2021-02-15,"Risch","4",NA,NA,NA
2021-02-22,"Risch","3",NA,NA,NA
2021-03-01,"Risch","4",NA,NA,NA
2020-03-16,"Steinhausen","2",NA,NA,NA
2020-03-23,"Steinhausen","7",NA,NA,NA
2020-03-30,"Steinhausen","1",NA,NA,NA
2020-04-06,"Steinhausen","2",NA,NA,NA
2020-04-20,"Steinhausen","2",NA,NA,NA
2020-05-11,"Steinhausen","1",NA,NA,NA
2020-06-08,"Steinhausen","1",NA,NA,NA
2020-06-15,"Steinhausen","1",NA,NA,NA
2020-06-22,"Steinhausen","2",NA,NA,NA
2020-07-06,"Steinhausen","1",NA,NA,NA
2020-07-20,"Steinhausen","1",NA,NA,NA
2020-07-27,"Steinhausen","2",NA,NA,NA
2020-08-24,"Steinhausen","1",NA,NA,NA
2020-09-28,"Steinhausen","3",NA,NA,NA
2020-10-05,"Steinhausen","24",NA,NA,NA
2020-10-12,"Steinhausen","18",NA,NA,NA
2020-10-19,"Steinhausen","43",NA,NA,NA
2020-10-26,"Steinhausen","40",NA,NA,NA
2020-11-02,"Steinhausen","38",NA,NA,NA
2020-11-09,"Steinhausen","33",NA,NA,NA
2020-11-16,"Steinhausen","39",NA,NA,NA
2020-11-23,"Steinhausen","36",NA,NA,NA
2020-11-30,"Steinhausen","56",NA,NA,NA
2020-12-07,"Steinhausen","20",NA,NA,NA
2020-12-14,"Steinhausen","28",NA,NA,NA
2020-12-21,"Steinhausen","9",NA,NA,NA
2020-12-28,"Steinhausen","19",NA,NA,NA
2021-01-04,"Steinhausen","24",NA,NA,NA
2021-01-11,"Steinhausen","19",NA,NA,NA
2021-01-18,"Steinhausen","14",NA,NA,NA
2021-01-25,"Steinhausen","15",NA,NA,NA
2021-02-01,"Steinhausen","13",NA,NA,NA
2021-02-08,"Steinhausen","17",NA,NA,NA
2021-02-15,"Steinhausen","4",NA,NA,NA
2021-02-22,"Steinhausen","17",NA,NA,NA
2021-03-01,"Steinhausen","12",NA,NA,NA
2020-02-24,"Unterägeri","1",NA,NA,NA
2020-03-09,"Unterägeri","1",NA,NA,NA
2020-03-16,"Unterägeri","3",NA,NA,NA
2020-03-23,"Unterägeri","1",NA,NA,NA
2020-03-30,"Unterägeri","4",NA,NA,NA
2020-04-06,"Unterägeri","3",NA,NA,NA
2020-04-13,"Unterägeri","1",NA,NA,NA
2020-04-27,"Unterägeri","1",NA,NA,NA
2020-06-29,"Unterägeri","1",NA,NA,NA
2020-07-27,"Unterägeri","1",NA,NA,NA
2020-08-03,"Unterägeri","1",NA,NA,NA
2020-09-21,"Unterägeri","1",NA,NA,NA
2020-09-28,"Unterägeri","1",NA,NA,NA
2020-10-05,"Unterägeri","14",NA,NA,NA
2020-10-12,"Unterägeri","26",NA,NA,NA
2020-10-19,"Unterägeri","34",NA,NA,NA
2020-10-26,"Unterägeri","20",NA,NA,NA
2020-11-02,"Unterägeri","19",NA,NA,NA
2020-11-09,"Unterägeri","34",NA,NA,NA
2020-11-16,"Unterägeri","34",NA,NA,NA
2020-11-23,"Unterägeri","27",NA,NA,NA
2020-11-30,"Unterägeri","33",NA,NA,NA
2020-12-07,"Unterägeri","27",NA,NA,NA
2020-12-14,"Unterägeri","30",NA,NA,NA
2020-12-21,"Unterägeri","26",NA,NA,NA
2020-12-28,"Unterägeri","23",NA,NA,NA
2021-01-04,"Unterägeri","14",NA,NA,NA
2021-01-11,"Unterägeri","5",NA,NA,NA
2021-01-18,"Unterägeri","11",NA,NA,NA
2021-01-25,"Unterägeri","5",NA,NA,NA
2021-02-01,"Unterägeri","5",NA,NA,NA
2021-02-08,"Unterägeri","4",NA,NA,NA
2021-02-15,"Unterägeri","10",NA,NA,NA
2021-02-22,"Unterägeri","7",NA,NA,NA
2021-03-01,"Unterägeri","3",NA,NA,NA
2020-03-23,"Walchwil","1",NA,NA,NA
2020-03-30,"Walchwil","3",NA,NA,NA
2020-07-27,"Walchwil","1",NA,NA,NA
2020-08-17,"Walchwil","1",NA,NA,NA
2020-09-14,"Walchwil","2",NA,NA,NA
2020-09-21,"Walchwil","1",NA,NA,NA
2020-09-28,"Walchwil","1",NA,NA,NA
2020-10-05,"Walchwil","3",NA,NA,NA
2020-10-12,"Walchwil","7",NA,NA,NA
2020-10-19,"Walchwil","5",NA,NA,NA
2020-10-26,"Walchwil","7",NA,NA,NA
2020-11-02,"Walchwil","8",NA,NA,NA
2020-11-09,"Walchwil","2",NA,NA,NA
2020-11-16,"Walchwil","13",NA,NA,NA
2020-11-23,"Walchwil","7",NA,NA,NA
2020-11-30,"Walchwil","12",NA,NA,NA
2020-12-07,"Walchwil","11",NA,NA,NA
2020-12-14,"Walchwil","13",NA,NA,NA
2020-12-21,"Walchwil","3",NA,NA,NA
2021-01-04,"Walchwil","11",NA,NA,NA
2021-01-11,"Walchwil","10",NA,NA,NA
2021-01-18,"Walchwil","14",NA,NA,NA
2021-01-25,"Walchwil","7",NA,NA,NA
2021-02-01,"Walchwil","3",NA,NA,NA
2021-02-08,"Walchwil","5",NA,NA,NA
2021-02-15,"Walchwil","2",NA,NA,NA
2021-02-22,"Walchwil","2",NA,NA,NA
2021-03-01,"Walchwil","1",NA,NA,NA
2020-03-02,"Zug","3",NA,NA,NA
2020-03-09,"Zug","3",NA,NA,NA
2020-03-16,"Zug","13",NA,NA,NA
2020-03-23,"Zug","8",NA,NA,NA
2020-03-30,"Zug","4",NA,NA,NA
2020-04-06,"Zug","1",NA,NA,NA
2020-04-20,"Zug","3",NA,NA,NA
2020-06-22,"Zug","2",NA,NA,NA
2020-06-29,"Zug","6",NA,NA,NA
2020-07-06,"Zug","3",NA,NA,NA
2020-07-13,"Zug","3",NA,NA,NA
2020-07-27,"Zug","5",NA,NA,NA
2020-08-03,"Zug","6",NA,NA,NA
2020-08-10,"Zug","4",NA,NA,NA
2020-08-17,"Zug","3",NA,NA,NA
2020-08-24,"Zug","6",NA,NA,NA
2020-08-31,"Zug","9",NA,NA,NA
2020-09-07,"Zug","8",NA,NA,NA
2020-09-14,"Zug","4",NA,NA,NA
2020-09-21,"Zug","1",NA,NA,NA
2020-09-28,"Zug","17",NA,NA,NA
2020-10-05,"Zug","48",NA,NA,NA
2020-10-12,"Zug","60",NA,NA,NA
2020-10-19,"Zug","109",NA,NA,NA
2020-10-26,"Zug","129",NA,NA,NA
2020-11-02,"Zug","89",NA,NA,NA
2020-11-09,"Zug","82",NA,NA,NA
2020-11-16,"Zug","87",NA,NA,NA
2020-11-23,"Zug","79",NA,NA,NA
2020-11-30,"Zug","67",NA,NA,NA
2020-12-07,"Zug","69",NA,NA,NA
2020-12-14,"Zug","87",NA,NA,NA
2020-12-21,"Zug","65",NA,NA,NA
2020-12-28,"Zug","78",NA,NA,NA
2021-01-04,"Zug","97",NA,NA,NA
2021-01-11,"Zug","48",NA,NA,NA
2021-01-18,"Zug","46",NA,NA,NA
2021-01-25,"Zug","39",NA,NA,NA
2021-02-01,"Zug","33",NA,NA,NA
2021-02-08,"Zug","15",NA,NA,NA
2021-02-15,"Zug","23",NA,NA,NA
2021-02-22,"Zug","7",NA,NA,NA
2021-03-01,"Zug","19",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Positiv getestete Personen nach Gemeinde im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 08.03.2021"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,NA,"1","source","ISM, Bundesamt für Gesundheit"
