"Woche","Geschlecht","Anzahl Fälle","Meta","Type","Content"
2020-05-25,"weiblich","0",NA,NA,NA
2020-06-01,"weiblich","1",NA,NA,NA
2020-06-08,"weiblich","3",NA,NA,NA
2020-06-15,"weiblich","1",NA,NA,NA
2020-06-22,"weiblich","1",NA,NA,NA
2020-06-29,"weiblich","10",NA,NA,NA
2020-07-06,"weiblich","8",NA,NA,NA
2020-07-13,"weiblich","4",NA,NA,NA
2020-07-20,"weiblich","7",NA,NA,NA
2020-07-27,"weiblich","7",NA,NA,NA
2020-08-03,"weiblich","6",NA,NA,NA
2020-08-10,"weiblich","5",NA,NA,NA
2020-08-17,"weiblich","8",NA,NA,NA
2020-08-24,"weiblich","5",NA,NA,NA
2020-08-31,"weiblich","12",NA,NA,NA
2020-09-07,"weiblich","8",NA,NA,NA
2020-09-14,"weiblich","5",NA,NA,NA
2020-09-21,"weiblich","5",NA,NA,NA
2020-09-28,"weiblich","19",NA,NA,NA
2020-10-05,"weiblich","83",NA,NA,NA
2020-10-12,"weiblich","130",NA,NA,NA
2020-10-19,"weiblich","206",NA,NA,NA
2020-10-26,"weiblich","207",NA,NA,NA
2020-11-02,"weiblich","213",NA,NA,NA
2020-11-09,"weiblich","179",NA,NA,NA
2020-11-16,"weiblich","192",NA,NA,NA
2020-11-23,"weiblich","160",NA,NA,NA
2020-11-30,"weiblich","188",NA,NA,NA
2020-12-07,"weiblich","68",NA,NA,NA
2020-02-24,"Unbekannt","0",NA,NA,NA
2020-03-02,"Unbekannt","0",NA,NA,NA
2020-03-09,"Unbekannt","0",NA,NA,NA
2020-03-16,"Unbekannt","0",NA,NA,NA
2020-03-23,"Unbekannt","0",NA,NA,NA
2020-03-30,"Unbekannt","0",NA,NA,NA
2020-04-06,"Unbekannt","0",NA,NA,NA
2020-04-13,"Unbekannt","0",NA,NA,NA
2020-04-20,"Unbekannt","0",NA,NA,NA
2020-04-27,"Unbekannt","0",NA,NA,NA
2020-05-04,"Unbekannt","0",NA,NA,NA
2020-05-11,"Unbekannt","0",NA,NA,NA
2020-05-18,"Unbekannt","0",NA,NA,NA
2020-05-25,"Unbekannt","0",NA,NA,NA
2020-06-01,"Unbekannt","0",NA,NA,NA
2020-06-08,"Unbekannt","0",NA,NA,NA
2020-06-15,"Unbekannt","0",NA,NA,NA
2020-06-22,"Unbekannt","0",NA,NA,NA
2020-06-29,"Unbekannt","0",NA,NA,NA
2020-07-06,"Unbekannt","0",NA,NA,NA
2020-07-13,"Unbekannt","0",NA,NA,NA
2020-07-20,"Unbekannt","0",NA,NA,NA
2020-07-27,"Unbekannt","0",NA,NA,NA
2020-08-03,"Unbekannt","0",NA,NA,NA
2020-08-10,"Unbekannt","0",NA,NA,NA
2020-08-17,"Unbekannt","0",NA,NA,NA
2020-08-24,"Unbekannt","0",NA,NA,NA
2020-08-31,"Unbekannt","0",NA,NA,NA
2020-09-07,"Unbekannt","0",NA,NA,NA
2020-09-14,"Unbekannt","0",NA,NA,NA
2020-09-21,"Unbekannt","0",NA,NA,NA
2020-09-28,"Unbekannt","0",NA,NA,NA
2020-10-05,"Unbekannt","0",NA,NA,NA
2020-10-12,"Unbekannt","0",NA,NA,NA
2020-10-19,"Unbekannt","0",NA,NA,NA
2020-10-26,"Unbekannt","0",NA,NA,NA
2020-11-02,"Unbekannt","0",NA,NA,NA
2020-11-09,"Unbekannt","0",NA,NA,NA
2020-11-16,"Unbekannt","0",NA,NA,NA
2020-11-23,"Unbekannt","0",NA,NA,NA
2020-11-30,"Unbekannt","0",NA,NA,NA
2020-12-07,"Unbekannt","0",NA,NA,NA
NA,NA,NA,"1","datatypes","week,string,integer"
NA,NA,NA,"1","title","Positiv getestete Personen nach Geschlecht im Zeitverlauf"
NA,NA,NA,"1","subtitle","Datenstand: 10.12.2020"
NA,NA,NA,"1","description","Aufgrund der kleinen Fallzahlen im Kanton Zug können starke Ausreisser innerhalb einzelner Gruppen ohne sachliche Begründung vorkommen."
NA,NA,NA,"1","source","Bundesamt für Gesundheit"
