"Typ","Datum","Anzahl","Stand","Meta","Type","Content"
"Fallzahl","01.08.2020","288","2020-08-02 08:00:00",NA,NA,NA
"Fallzahl","02.08.2020","293","2020-08-03 08:00:00",NA,NA,NA
"Fallzahl","03.08.2020","296","2020-08-04 08:00:00",NA,NA,NA
"Fallzahl","04.08.2020","296","2020-08-05 08:00:00",NA,NA,NA
"Fallzahl","05.08.2020","296","2020-08-06 08:00:00",NA,NA,NA
"Fallzahl","06.08.2020","297","2020-08-07 08:00:00",NA,NA,NA
"Fallzahl","07.08.2020","297","2020-08-08 08:00:00",NA,NA,NA
"Fallzahl","08.08.2020","297","2020-08-09 08:00:00",NA,NA,NA
"Fallzahl","09.08.2020","302","2020-08-10 08:00:00",NA,NA,NA
"Fallzahl","10.08.2020","305","2020-08-11 08:00:00",NA,NA,NA
"Fallzahl","11.08.2020","307","2020-08-12 08:00:00",NA,NA,NA
"Fallzahl","12.08.2020","309","2020-08-13 08:00:00",NA,NA,NA
"Fallzahl","13.08.2020","312","2020-08-14 08:00:00",NA,NA,NA
"Fallzahl","14.08.2020","312","2020-08-15 08:00:00",NA,NA,NA
"Fallzahl","15.08.2020","312","2020-08-16 08:00:00",NA,NA,NA
"Fallzahl","16.08.2020","315","2020-08-17 08:00:00",NA,NA,NA
"Fallzahl","17.08.2020","317","2020-08-18 08:00:00",NA,NA,NA
"Fallzahl","18.08.2020","319","2020-08-19 08:00:00",NA,NA,NA
"Fallzahl","19.08.2020","321","2020-08-20 08:00:00",NA,NA,NA
"Fallzahl","20.08.2020","323","2020-08-21 08:00:00",NA,NA,NA
"Fallzahl","21.08.2020","323","2020-08-22 08:00:00",NA,NA,NA
"Fallzahl","22.08.2020","323","2020-08-23 08:00:00",NA,NA,NA
"Fallzahl","23.08.2020","334","2020-08-24 08:00:00",NA,NA,NA
"Fallzahl","24.08.2020","338","2020-08-25 08:00:00",NA,NA,NA
"Fallzahl","25.08.2020","340","2020-08-26 08:00:00",NA,NA,NA
"Fallzahl","26.08.2020","341","2020-08-27 08:00:00",NA,NA,NA
"Fallzahl","27.08.2020","344","2020-08-28 08:00:00",NA,NA,NA
"Fallzahl","28.08.2020","344","2020-08-29 08:00:00",NA,NA,NA
"Fallzahl","29.08.2020","344","2020-08-30 08:00:00",NA,NA,NA
"Fallzahl","30.08.2020","349","2020-08-31 08:00:00",NA,NA,NA
"Fallzahl","31.08.2020","353","2020-09-01 08:00:00",NA,NA,NA
"Fallzahl","01.09.2020","354","2020-09-02 08:00:00",NA,NA,NA
"Fallzahl","02.09.2020","361","2020-09-03 08:00:00",NA,NA,NA
"Fallzahl","03.09.2020","371","2020-09-04 08:00:00",NA,NA,NA
"Fallzahl","04.09.2020","371","2020-09-05 08:00:00",NA,NA,NA
"Fallzahl","05.09.2020","371","2020-09-06 08:00:00",NA,NA,NA
"Fallzahl","06.09.2020","377","2020-09-07 08:00:00",NA,NA,NA
"Fallzahl","07.09.2020","384","2020-09-08 08:00:00",NA,NA,NA
"Fallzahl","08.09.2020","386","2020-09-09 08:00:00",NA,NA,NA
"Fallzahl","09.09.2020","388","2020-09-10 08:00:00",NA,NA,NA
"Fallzahl","10.09.2020","392","2020-09-11 08:00:00",NA,NA,NA
"Fallzahl","11.09.2020","392","2020-09-12 08:00:00",NA,NA,NA
"Fallzahl","12.09.2020","392","2020-09-13 08:00:00",NA,NA,NA
"Fallzahl","13.09.2020","404","2020-09-14 08:00:00",NA,NA,NA
"Fallzahl","14.09.2020","408","2020-09-15 08:00:00",NA,NA,NA
"Fallzahl","15.09.2020","409","2020-09-16 08:00:00",NA,NA,NA
"Fallzahl","16.09.2020","410","2020-09-17 08:00:00",NA,NA,NA
"Fallzahl","17.09.2020","414","2020-09-18 08:00:00",NA,NA,NA
"Fallzahl","18.09.2020","414","2020-09-19 08:00:00",NA,NA,NA
"Fallzahl","19.09.2020","414","2020-09-20 08:00:00",NA,NA,NA
"Fallzahl","20.09.2020","416","2020-09-21 08:00:00",NA,NA,NA
"Fallzahl","21.09.2020","417","2020-09-22 08:00:00",NA,NA,NA
"Fallzahl","22.09.2020","423","2020-09-23 08:00:00",NA,NA,NA
"Fallzahl","23.09.2020","424","2020-09-24 08:00:00",NA,NA,NA
"Fallzahl","24.09.2020","429","2020-09-25 08:00:00",NA,NA,NA
"Fallzahl","25.09.2020","429","2020-09-26 08:00:00",NA,NA,NA
"Fallzahl","26.09.2020","429","2020-09-27 08:00:00",NA,NA,NA
"Fallzahl","27.09.2020","432","2020-09-28 08:00:00",NA,NA,NA
"Fallzahl","28.09.2020","433","2020-09-29 08:00:00",NA,NA,NA
"Fallzahl","29.09.2020","441","2020-09-30 08:00:00",NA,NA,NA
"Fallzahl","30.09.2020","447","2020-10-01 08:00:00",NA,NA,NA
"Fallzahl","01.10.2020","450","2020-10-02 08:00:00",NA,NA,NA
"Fallzahl","02.10.2020","467","2020-10-03 08:00:00",NA,NA,NA
"Fallzahl","03.10.2020","484","2020-10-04 08:00:00",NA,NA,NA
"Fallzahl","04.10.2020","485","2020-10-05 08:00:00",NA,NA,NA
"Fallzahl","05.10.2020","510","2020-10-06 08:00:00",NA,NA,NA
"Fallzahl","06.10.2020","536","2020-10-07 08:00:00",NA,NA,NA
"Fallzahl","07.10.2020","564","2020-10-08 08:00:00",NA,NA,NA
"Fallzahl","08.10.2020","591","2020-10-09 08:00:00",NA,NA,NA
"Fallzahl","09.10.2020","619","2020-10-10 08:00:00",NA,NA,NA
"Fallzahl","10.10.2020","662","2020-10-11 08:00:00",NA,NA,NA
"Fallzahl","11.10.2020","670","2020-10-12 08:00:00",NA,NA,NA
"Fallzahl","12.10.2020","700","2020-10-13 08:00:00",NA,NA,NA
"Fallzahl","13.10.2020","746","2020-10-14 08:00:00",NA,NA,NA
"Fallzahl","14.10.2020","792","2020-10-15 08:00:00",NA,NA,NA
"Fallzahl","15.10.2020","845","2020-10-16 08:00:00",NA,NA,NA
"Fallzahl","16.10.2020","904","2020-10-17 08:00:00",NA,NA,NA
"Fallzahl","17.10.2020","957","2020-10-18 08:00:00",NA,NA,NA
"Fallzahl","18.10.2020","962","2020-10-19 08:00:00",NA,NA,NA
"Fallzahl","19.10.2020","1014","2020-10-20 08:00:00",NA,NA,NA
"Fallzahl","20.10.2020","1075","2020-10-21 08:00:00",NA,NA,NA
"Fallzahl","21.10.2020","1149","2020-10-22 08:00:00",NA,NA,NA
"Fallzahl","22.10.2020","1212","2020-10-23 08:00:00",NA,NA,NA
"Fallzahl","23.10.2020","1286","2020-10-24 08:00:00",NA,NA,NA
"Fallzahl","24.10.2020","1354","2020-10-25 08:00:00",NA,NA,NA
"Fallzahl","25.10.2020","1403","2020-10-26 08:00:00",NA,NA,NA
"Fallzahl","26.10.2020","1469","2020-10-27 08:00:00",NA,NA,NA
"Fallzahl","27.10.2020","1544","2020-10-28 08:00:00",NA,NA,NA
"Fallzahl","28.10.2020","1608","2020-10-29 08:00:00",NA,NA,NA
"Fallzahl","29.10.2020","1674","2020-10-30 08:00:00",NA,NA,NA
"Fallzahl","30.10.2020","1776","2020-10-31 08:00:00",NA,NA,NA
"Fallzahl","31.10.2020","1814","2020-11-01 08:00:00",NA,NA,NA
"Fallzahl","01.11.2020","1845","2020-11-02 08:00:00",NA,NA,NA
"Fallzahl","02.11.2020","1895","2020-11-03 08:00:00",NA,NA,NA
"Fallzahl","03.11.2020","1967","2020-11-04 08:00:00",NA,NA,NA
"Fallzahl","04.11.2020","2062","2020-11-05 08:00:00",NA,NA,NA
"Fallzahl","05.11.2020","2133","2020-11-06 08:00:00",NA,NA,NA
"Fallzahl","06.11.2020","2183","2020-11-07 08:00:00",NA,NA,NA
"Fallzahl","07.11.2020","2238","2020-11-08 08:00:00",NA,NA,NA
"Fallzahl","08.11.2020","2276","2020-11-09 08:00:00",NA,NA,NA
"Fallzahl","09.11.2020","2313","2020-11-10 08:00:00",NA,NA,NA
"Fallzahl","10.11.2020","2369","2020-11-11 08:00:00",NA,NA,NA
"Fallzahl","11.11.2020","2425","2020-11-12 08:00:00",NA,NA,NA
"Fallzahl","12.11.2020","2506","2020-11-13 08:00:00",NA,NA,NA
"Fallzahl","13.11.2020","2561","2020-11-14 08:00:00",NA,NA,NA
"Fallzahl","14.11.2020","2608","2020-11-15 08:00:00",NA,NA,NA
"Fallzahl","15.11.2020","2644","2020-11-16 08:00:00",NA,NA,NA
"Fallzahl","16.11.2020","2701","2020-11-17 08:00:00",NA,NA,NA
"Fallzahl","17.11.2020","2766","2020-11-18 08:00:00",NA,NA,NA
"Fallzahl","18.11.2020","2835","2020-11-19 08:00:00",NA,NA,NA
"Fallzahl","19.11.2020","2883","2020-11-20 08:00:00",NA,NA,NA
"Fallzahl","20.11.2020","2943","2020-11-21 08:00:00",NA,NA,NA
"Fallzahl","21.11.2020","2982","2020-11-22 08:00:00",NA,NA,NA
"Fallzahl","22.11.2020","3025","2020-11-23 08:00:00",NA,NA,NA
"Fallzahl","23.11.2020","3068","2020-11-24 08:00:00",NA,NA,NA
"Fallzahl","24.11.2020","3126","2020-11-25 08:00:00",NA,NA,NA
"Fallzahl","25.11.2020","3186","2020-11-26 08:00:00",NA,NA,NA
"Fallzahl","26.11.2020","3227","2020-11-27 08:00:00",NA,NA,NA
"Fallzahl","27.11.2020","3289","2020-11-28 08:00:00",NA,NA,NA
"Fallzahl","28.11.2020","3329","2020-11-29 08:00:00",NA,NA,NA
"Fallzahl","29.11.2020","3356","2020-11-30 08:00:00",NA,NA,NA
"Fallzahl","30.11.2020","3400","2020-12-01 08:00:00",NA,NA,NA
"Fallzahl","01.12.2020","3456","2020-12-02 08:00:00",NA,NA,NA
"Fallzahl","02.12.2020","3525","2020-12-03 08:00:00",NA,NA,NA
"Fallzahl","03.12.2020","3571","2020-12-04 08:00:00",NA,NA,NA
"Fallzahl","04.12.2020","3641","2020-12-05 08:00:00",NA,NA,NA
"Fallzahl","05.12.2020","3673","2020-12-06 08:00:00",NA,NA,NA
"Fallzahl","06.12.2020","3706","2020-12-07 08:00:00",NA,NA,NA
"Fallzahl","07.12.2020","3747","2020-12-08 08:00:00",NA,NA,NA
"Fallzahl","08.12.2020","3799","2020-12-09 08:00:00",NA,NA,NA
"Fallzahl","09.12.2020","3851","2020-12-10 08:00:00",NA,NA,NA
"Fallzahl","10.12.2020","3898","2020-12-11 08:00:00",NA,NA,NA
"Fallzahl","11.12.2020","3961","2020-12-12 08:00:00",NA,NA,NA
"Fallzahl","12.12.2020","4001","2020-12-13 08:00:00",NA,NA,NA
"Fallzahl","13.12.2020","4038","2020-12-14 08:00:00",NA,NA,NA
"Fallzahl","14.12.2020","4095","2020-12-15 08:00:00",NA,NA,NA
"Fallzahl","15.12.2020","4157","2020-12-16 08:00:00",NA,NA,NA
"Hospitalisierte","01.03.2020","0","2020-03-02 08:00:00",NA,NA,NA
"Hospitalisierte","02.03.2020","0","2020-03-03 08:00:00",NA,NA,NA
"Hospitalisierte","03.03.2020","0","2020-03-04 08:00:00",NA,NA,NA
"Hospitalisierte","04.03.2020","0","2020-03-05 08:00:00",NA,NA,NA
"Hospitalisierte","05.03.2020","0","2020-03-06 08:00:00",NA,NA,NA
"Hospitalisierte","06.03.2020","0","2020-03-07 08:00:00",NA,NA,NA
"Hospitalisierte","07.03.2020","0","2020-03-08 08:00:00",NA,NA,NA
"Hospitalisierte","08.03.2020","0","2020-03-09 08:00:00",NA,NA,NA
"Hospitalisierte","09.03.2020","0","2020-03-10 08:00:00",NA,NA,NA
"Hospitalisierte","10.03.2020","0","2020-03-11 08:00:00",NA,NA,NA
"Hospitalisierte","11.03.2020","0","2020-03-12 08:00:00",NA,NA,NA
"Hospitalisierte","12.03.2020","0","2020-03-13 08:00:00",NA,NA,NA
"Hospitalisierte","13.03.2020","0","2020-03-14 08:00:00",NA,NA,NA
"Hospitalisierte","14.03.2020","0","2020-03-15 08:00:00",NA,NA,NA
"Hospitalisierte","15.03.2020","0","2020-03-16 08:00:00",NA,NA,NA
"Hospitalisierte","16.03.2020","0","2020-03-17 08:00:00",NA,NA,NA
"Hospitalisierte","17.03.2020","0","2020-03-18 08:00:00",NA,NA,NA
"Hospitalisierte","18.03.2020","1","2020-03-19 08:00:00",NA,NA,NA
"Hospitalisierte","19.03.2020","1","2020-03-20 08:00:00",NA,NA,NA
"Hospitalisierte","20.03.2020","3","2020-03-21 08:00:00",NA,NA,NA
"Hospitalisierte","21.03.2020","3","2020-03-22 08:00:00",NA,NA,NA
"Hospitalisierte","22.03.2020","3","2020-03-23 08:00:00",NA,NA,NA
"Hospitalisierte","23.03.2020","6","2020-03-24 08:00:00",NA,NA,NA
"Hospitalisierte","24.03.2020","9","2020-03-25 08:00:00",NA,NA,NA
"Hospitalisierte","25.03.2020","10","2020-03-26 08:00:00",NA,NA,NA
"Hospitalisierte","26.03.2020","12","2020-03-27 08:00:00",NA,NA,NA
"Hospitalisierte","27.03.2020","12","2020-03-28 08:00:00",NA,NA,NA
"Hospitalisierte","28.03.2020","12","2020-03-29 08:00:00",NA,NA,NA
"Hospitalisierte","29.03.2020","13","2020-03-30 08:00:00",NA,NA,NA
"Hospitalisierte","30.03.2020","14","2020-03-31 08:00:00",NA,NA,NA
"Hospitalisierte","31.03.2020","13","2020-04-01 08:00:00",NA,NA,NA
"Hospitalisierte","01.04.2020","14","2020-04-02 08:00:00",NA,NA,NA
"Hospitalisierte","02.04.2020","15","2020-04-03 08:00:00",NA,NA,NA
"Hospitalisierte","03.04.2020","14","2020-04-04 08:00:00",NA,NA,NA
"Hospitalisierte","04.04.2020","14","2020-04-05 08:00:00",NA,NA,NA
"Hospitalisierte","05.04.2020","14","2020-04-06 08:00:00",NA,NA,NA
"Hospitalisierte","06.04.2020","15","2020-04-07 08:00:00",NA,NA,NA
"Hospitalisierte","07.04.2020","12","2020-04-08 08:00:00",NA,NA,NA
"Hospitalisierte","08.04.2020","13","2020-04-09 08:00:00",NA,NA,NA
"Hospitalisierte","09.04.2020","15","2020-04-10 08:00:00",NA,NA,NA
"Hospitalisierte","10.04.2020","14","2020-04-11 08:00:00",NA,NA,NA
"Hospitalisierte","11.04.2020","13","2020-04-12 08:00:00",NA,NA,NA
"Hospitalisierte","12.04.2020","13","2020-04-13 08:00:00",NA,NA,NA
"Hospitalisierte","13.04.2020","13","2020-04-14 08:00:00",NA,NA,NA
"Hospitalisierte","14.04.2020","13","2020-04-15 08:00:00",NA,NA,NA
"Hospitalisierte","15.04.2020","9","2020-04-16 08:00:00",NA,NA,NA
"Hospitalisierte","16.04.2020","8","2020-04-17 08:00:00",NA,NA,NA
"Hospitalisierte","17.04.2020","6","2020-04-18 08:00:00",NA,NA,NA
"Hospitalisierte","18.04.2020","11","2020-04-19 08:00:00",NA,NA,NA
"Hospitalisierte","19.04.2020","11","2020-04-20 08:00:00",NA,NA,NA
"Hospitalisierte","20.04.2020","9","2020-04-21 08:00:00",NA,NA,NA
"Hospitalisierte","21.04.2020","6","2020-04-22 08:00:00",NA,NA,NA
"Hospitalisierte","22.04.2020","6","2020-04-23 08:00:00",NA,NA,NA
"Hospitalisierte","23.04.2020","6","2020-04-24 08:00:00",NA,NA,NA
"Hospitalisierte","24.04.2020","6","2020-04-25 08:00:00",NA,NA,NA
"Hospitalisierte","25.04.2020","6","2020-04-26 08:00:00",NA,NA,NA
"Hospitalisierte","26.04.2020","7","2020-04-27 08:00:00",NA,NA,NA
"Hospitalisierte","27.04.2020","7","2020-04-28 08:00:00",NA,NA,NA
"Hospitalisierte","28.04.2020","6","2020-04-29 08:00:00",NA,NA,NA
"Hospitalisierte","29.04.2020","6","2020-04-30 08:00:00",NA,NA,NA
"Hospitalisierte","30.04.2020","4","2020-05-01 08:00:00",NA,NA,NA
"Hospitalisierte","01.05.2020","3","2020-05-02 08:00:00",NA,NA,NA
